text,sentiment
Terrible customer service. It stopped working after one use.,negative
Terrible customer service. Terrible customer service. It stopped working after one use.,negative
Terrible customer service. The worst experience ever.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
Terrible customer service. Not worth the price. It stopped working after one use.,negative
It stopped working after one use. It stopped working after one use. It stopped working after one use.,negative
Not worth the price. It stopped working after one use. Not worth the price.,negative
Terrible customer service. Completely disappointed with the purchase. Terrible customer service.,negative
The worst experience ever. Terrible customer service. Completely disappointed with the purchase.,negative
Terrible customer service. The worst experience ever.,negative
It stopped working after one use.,negative
Terrible customer service. It stopped working after one use.,negative
Terrible customer service.,negative
The worst experience ever. Not worth the price.,negative
Terrible customer service. Completely disappointed with the purchase.,negative
Not worth the price. Completely disappointed with the purchase.,negative
It stopped working after one use. Terrible customer service. Completely disappointed with the purchase.,negative
Not worth the price. Completely disappointed with the purchase.,negative
It stopped working after one use.,negative
Not worth the price. Not worth the price. It stopped working after one use.,negative
Not worth the price. The worst experience ever. Terrible customer service.,negative
Not worth the price. Terrible customer service.,negative
The worst experience ever. It stopped working after one use. Terrible customer service.,negative
The worst experience ever. It stopped working after one use. It stopped working after one use.,negative
Not worth the price.,negative
Not worth the price. The worst experience ever. Completely disappointed with the purchase.,negative
Terrible customer service. It stopped working after one use.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
It stopped working after one use.,negative
Terrible customer service. It stopped working after one use. The worst experience ever.,negative
The worst experience ever.,negative
Completely disappointed with the purchase.,negative
Terrible customer service.,negative
The worst experience ever.,negative
The worst experience ever. Completely disappointed with the purchase. Completely disappointed with the purchase.,negative
The worst experience ever. The worst experience ever.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
Terrible customer service. The worst experience ever.,negative
The worst experience ever. The worst experience ever.,negative
Terrible customer service. The worst experience ever.,negative
Not worth the price. Not worth the price. Not worth the price.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
It stopped working after one use. The worst experience ever. It stopped working after one use.,negative
The worst experience ever. It stopped working after one use. Terrible customer service.,negative
The worst experience ever. Not worth the price. Completely disappointed with the purchase.,negative
The worst experience ever. It stopped working after one use.,negative
Not worth the price. The worst experience ever.,negative
The worst experience ever.,negative
Not worth the price.,negative
Not worth the price. Terrible customer service.,negative
Completely disappointed with the purchase. Not worth the price.,negative
The worst experience ever. Not worth the price.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
It stopped working after one use.,negative
The worst experience ever. The worst experience ever. It stopped working after one use.,negative
Terrible customer service. Completely disappointed with the purchase. Completely disappointed with the purchase.,negative
Completely disappointed with the purchase. Not worth the price. It stopped working after one use.,negative
Terrible customer service.,negative
Terrible customer service.,negative
Terrible customer service.,negative
It stopped working after one use.,negative
Not worth the price. It stopped working after one use.,negative
Terrible customer service. Not worth the price. Terrible customer service.,negative
Completely disappointed with the purchase.,negative
The worst experience ever. Completely disappointed with the purchase. The worst experience ever.,negative
The worst experience ever. It stopped working after one use.,negative
Completely disappointed with the purchase.,negative
It stopped working after one use. The worst experience ever.,negative
Completely disappointed with the purchase.,negative
Terrible customer service.,negative
Terrible customer service. Not worth the price. Completely disappointed with the purchase.,negative
The worst experience ever. The worst experience ever. It stopped working after one use.,negative
It stopped working after one use. Completely disappointed with the purchase.,negative
Completely disappointed with the purchase. Terrible customer service. It stopped working after one use.,negative
Not worth the price.,negative
Completely disappointed with the purchase.,negative
Completely disappointed with the purchase.,negative
Not worth the price.,negative
The worst experience ever.,negative
The worst experience ever. The worst experience ever. Completely disappointed with the purchase.,negative
The worst experience ever. Completely disappointed with the purchase. Not worth the price.,negative
Not worth the price.,negative
Not worth the price.,negative
It stopped working after one use. The worst experience ever.,negative
It stopped working after one use. It stopped working after one use. Completely disappointed with the purchase.,negative
Terrible customer service. Not worth the price. Terrible customer service.,negative
It stopped working after one use. It stopped working after one use. Not worth the price.,negative
The worst experience ever.,negative
The worst experience ever.,negative
The worst experience ever. It stopped working after one use. Completely disappointed with the purchase.,negative
Terrible customer service. Not worth the price. Not worth the price.,negative
Terrible customer service. It stopped working after one use.,negative
Terrible customer service.,negative
The worst experience ever. It stopped working after one use.,negative
Not worth the price. Terrible customer service.,negative
The worst experience ever. The worst experience ever. Terrible customer service.,negative
Terrible customer service. Not worth the price. It stopped working after one use.,negative
The worst experience ever. It stopped working after one use. Terrible customer service.,negative
Completely disappointed with the purchase.,negative
The worst experience ever. Not worth the price.,negative
The worst experience ever. It stopped working after one use.,negative
It stopped working after one use. Terrible customer service.,negative
Terrible customer service. Completely disappointed with the purchase.,negative
It stopped working after one use.,negative
It stopped working after one use.,negative
The worst experience ever. Not worth the price. It stopped working after one use.,negative
Not worth the price.,negative
The worst experience ever. Not worth the price.,negative
Not worth the price.,negative
The worst experience ever. Terrible customer service. Terrible customer service.,negative
The worst experience ever.,negative
The worst experience ever. It stopped working after one use.,negative
It stopped working after one use. The worst experience ever.,negative
Terrible customer service.,negative
Not worth the price. The worst experience ever. Not worth the price.,negative
The worst experience ever.,negative
Terrible customer service. It stopped working after one use.,negative
It stopped working after one use. It stopped working after one use. Not worth the price.,negative
Not worth the price.,negative
Completely disappointed with the purchase. The worst experience ever.,negative
Not worth the price.,negative
Terrible customer service. Terrible customer service. The worst experience ever.,negative
Completely disappointed with the purchase.,negative
The worst experience ever.,negative
Completely disappointed with the purchase.,negative
The worst experience ever. The worst experience ever. It stopped working after one use.,negative
The worst experience ever. Completely disappointed with the purchase. The worst experience ever.,negative
Not worth the price. Terrible customer service.,negative
It stopped working after one use. Completely disappointed with the purchase. The worst experience ever.,negative
It stopped working after one use. It stopped working after one use. The worst experience ever.,negative
The worst experience ever.,negative
The worst experience ever. The worst experience ever.,negative
Terrible customer service. Completely disappointed with the purchase.,negative
Completely disappointed with the purchase. Not worth the price.,negative
The worst experience ever. Not worth the price.,negative
Completely disappointed with the purchase. Not worth the price.,negative
Completely disappointed with the purchase.,negative
Completely disappointed with the purchase. Completely disappointed with the purchase.,negative
The worst experience ever.,negative
It stopped working after one use. Not worth the price. It stopped working after one use.,negative
Completely disappointed with the purchase. The worst experience ever. The worst experience ever.,negative
Completely disappointed with the purchase. The worst experience ever.,negative
Completely disappointed with the purchase. It stopped working after one use.,negative
The worst experience ever. It stopped working after one use. Not worth the price.,negative
The worst experience ever. The worst experience ever.,negative
It stopped working after one use. Terrible customer service. Not worth the price.,negative
The worst experience ever. Terrible customer service.,negative
Terrible customer service. Not worth the price.,negative
It stopped working after one use. Terrible customer service.,negative
It stopped working after one use. Completely disappointed with the purchase.,negative
The worst experience ever. It stopped working after one use. Not worth the price.,negative
Completely disappointed with the purchase.,negative
Completely disappointed with the purchase.,negative
Not worth the price. The worst experience ever. It stopped working after one use.,negative
Terrible customer service.,negative
It stopped working after one use. Completely disappointed with the purchase. Terrible customer service.,negative
Terrible customer service.,negative
The worst experience ever. Terrible customer service. Terrible customer service.,negative
Completely disappointed with the purchase.,negative
It stopped working after one use. The worst experience ever. Completely disappointed with the purchase.,negative
Not worth the price.,negative
It stopped working after one use.,negative
Terrible customer service.,negative
Terrible customer service. Not worth the price.,negative
Completely disappointed with the purchase.,negative
The worst experience ever. Completely disappointed with the purchase.,negative
Terrible customer service.,negative
Terrible customer service. Not worth the price.,negative
Terrible customer service. Not worth the price. The worst experience ever.,negative
The worst experience ever. Not worth the price. Completely disappointed with the purchase.,negative
It stopped working after one use.,negative
Terrible customer service.,negative
Not worth the price. It stopped working after one use.,negative
Terrible customer service.,negative
It stopped working after one use.,negative
The worst experience ever. Completely disappointed with the purchase.,negative
The worst experience ever. Completely disappointed with the purchase. Not worth the price.,negative
Completely disappointed with the purchase. The worst experience ever.,negative
It stopped working after one use. Completely disappointed with the purchase. The worst experience ever.,negative
Not worth the price.,negative
It stopped working after one use. It stopped working after one use. Terrible customer service.,negative
Completely disappointed with the purchase.,negative
It stopped working after one use. The worst experience ever. Terrible customer service.,negative
Not worth the price. It stopped working after one use.,negative
Completely disappointed with the purchase. Not worth the price. It stopped working after one use.,negative
Terrible customer service.,negative
It stopped working after one use. It stopped working after one use. Completely disappointed with the purchase.,negative
Not worth the price. Not worth the price.,negative
It stopped working after one use. Terrible customer service.,negative
Terrible customer service. Not worth the price. Terrible customer service.,negative
Completely disappointed with the purchase.,negative
Completely disappointed with the purchase. Terrible customer service.,negative
It stopped working after one use. Not worth the price. Terrible customer service.,negative
Not worth the price. It stopped working after one use. Terrible customer service.,negative
Not worth the price. Completely disappointed with the purchase. Not worth the price.,negative
"Neither good nor bad. It is okay, nothing special.",neutral
Neither good nor bad.,neutral
Neither good nor bad.,neutral
Neither good nor bad.,neutral
"It is okay, nothing special. Service was fine. It meets the basic requirements.",neutral
The product is average. It meets the basic requirements.,neutral
Service was fine.,neutral
Neither good nor bad.,neutral
Service was fine. The product is average. Service was fine.,neutral
"It is okay, nothing special. The product is average. It meets the basic requirements.",neutral
The product is average. The product is average. It meets the basic requirements.,neutral
"It meets the basic requirements. It is okay, nothing special.",neutral
Service was fine.,neutral
The product is average. It meets the basic requirements.,neutral
Neither good nor bad. Service was fine. Neither good nor bad.,neutral
Neither good nor bad. The product is average.,neutral
"Service was fine. It is okay, nothing special. Service was fine.",neutral
"The product is average. It is okay, nothing special. Neither good nor bad.",neutral
"It meets the basic requirements. It is okay, nothing special. Service was fine.",neutral
"It is okay, nothing special. It meets the basic requirements. The product is average.",neutral
"It is okay, nothing special. It meets the basic requirements. Service was fine.",neutral
Neither good nor bad.,neutral
It meets the basic requirements.,neutral
It meets the basic requirements.,neutral
Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
The product is average. Neither good nor bad.,neutral
Neither good nor bad. It meets the basic requirements. Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
The product is average. Service was fine.,neutral
"The product is average. It is okay, nothing special.",neutral
Service was fine. Neither good nor bad.,neutral
Neither good nor bad. Service was fine.,neutral
Neither good nor bad.,neutral
The product is average.,neutral
The product is average.,neutral
It meets the basic requirements. It meets the basic requirements.,neutral
"Neither good nor bad. It is okay, nothing special. It meets the basic requirements.",neutral
"It is okay, nothing special.",neutral
Service was fine. The product is average. Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
The product is average. It meets the basic requirements. Neither good nor bad.,neutral
It meets the basic requirements. Service was fine. Neither good nor bad.,neutral
"It is okay, nothing special. Service was fine. Service was fine.",neutral
The product is average. Service was fine. It meets the basic requirements.,neutral
Neither good nor bad. It meets the basic requirements.,neutral
The product is average. The product is average.,neutral
"Service was fine. It is okay, nothing special.",neutral
The product is average. It meets the basic requirements. Service was fine.,neutral
"Service was fine. It is okay, nothing special.",neutral
Neither good nor bad. The product is average. Neither good nor bad.,neutral
The product is average.,neutral
"It meets the basic requirements. It is okay, nothing special. Neither good nor bad.",neutral
It meets the basic requirements. The product is average. Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
The product is average. Neither good nor bad.,neutral
"It meets the basic requirements. Service was fine. It is okay, nothing special.",neutral
The product is average.,neutral
It meets the basic requirements. It meets the basic requirements.,neutral
Service was fine.,neutral
The product is average. Neither good nor bad. It meets the basic requirements.,neutral
Service was fine.,neutral
Service was fine.,neutral
"It is okay, nothing special. It is okay, nothing special. Neither good nor bad.",neutral
Service was fine.,neutral
Service was fine. Neither good nor bad.,neutral
"It is okay, nothing special. Service was fine.",neutral
It meets the basic requirements. Neither good nor bad. Neither good nor bad.,neutral
"Service was fine. It is okay, nothing special. It is okay, nothing special.",neutral
Neither good nor bad.,neutral
Neither good nor bad. Neither good nor bad.,neutral
Service was fine.,neutral
"Neither good nor bad. It is okay, nothing special. Service was fine.",neutral
It meets the basic requirements. Service was fine. Service was fine.,neutral
It meets the basic requirements.,neutral
It meets the basic requirements. It meets the basic requirements.,neutral
Neither good nor bad.,neutral
Service was fine.,neutral
The product is average. The product is average. Service was fine.,neutral
It meets the basic requirements. Neither good nor bad. It meets the basic requirements.,neutral
The product is average. The product is average. It meets the basic requirements.,neutral
"Service was fine. It is okay, nothing special.",neutral
The product is average. The product is average.,neutral
Service was fine.,neutral
Service was fine. Service was fine.,neutral
"It is okay, nothing special.",neutral
Service was fine. Service was fine. Service was fine.,neutral
"It is okay, nothing special.",neutral
"Service was fine. It is okay, nothing special. It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
"The product is average. It is okay, nothing special.",neutral
Service was fine. It meets the basic requirements.,neutral
"Neither good nor bad. It is okay, nothing special.",neutral
"It meets the basic requirements. It is okay, nothing special. It meets the basic requirements.",neutral
The product is average. The product is average.,neutral
Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
Neither good nor bad. It meets the basic requirements.,neutral
"It is okay, nothing special. It meets the basic requirements.",neutral
"It is okay, nothing special. The product is average. It meets the basic requirements.",neutral
It meets the basic requirements.,neutral
It meets the basic requirements. The product is average. The product is average.,neutral
It meets the basic requirements.,neutral
It meets the basic requirements.,neutral
It meets the basic requirements. Service was fine. It meets the basic requirements.,neutral
"The product is average. It is okay, nothing special. It is okay, nothing special.",neutral
"The product is average. It meets the basic requirements. It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
"Service was fine. It meets the basic requirements. It is okay, nothing special.",neutral
It meets the basic requirements. Service was fine.,neutral
"It is okay, nothing special. The product is average.",neutral
It meets the basic requirements. The product is average. Service was fine.,neutral
Service was fine.,neutral
Neither good nor bad. It meets the basic requirements.,neutral
"It is okay, nothing special. Neither good nor bad. Service was fine.",neutral
It meets the basic requirements.,neutral
Neither good nor bad.,neutral
It meets the basic requirements. Neither good nor bad. Service was fine.,neutral
The product is average. The product is average.,neutral
The product is average.,neutral
It meets the basic requirements.,neutral
The product is average.,neutral
Neither good nor bad. Neither good nor bad.,neutral
It meets the basic requirements.,neutral
"It is okay, nothing special.",neutral
The product is average. Service was fine.,neutral
Neither good nor bad.,neutral
"Neither good nor bad. It is okay, nothing special. Neither good nor bad.",neutral
"Service was fine. It is okay, nothing special.",neutral
It meets the basic requirements. Service was fine.,neutral
"It is okay, nothing special. Service was fine. It meets the basic requirements.",neutral
Neither good nor bad. The product is average.,neutral
"Neither good nor bad. It meets the basic requirements. It is okay, nothing special.",neutral
Neither good nor bad.,neutral
"Service was fine. It is okay, nothing special.",neutral
It meets the basic requirements. Neither good nor bad. Neither good nor bad.,neutral
Service was fine.,neutral
"It is okay, nothing special. Service was fine.",neutral
Neither good nor bad. Service was fine.,neutral
It meets the basic requirements.,neutral
The product is average.,neutral
Service was fine.,neutral
Neither good nor bad. Neither good nor bad. It meets the basic requirements.,neutral
Service was fine.,neutral
Service was fine.,neutral
"It is okay, nothing special. It is okay, nothing special. It is okay, nothing special.",neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special. It is okay, nothing special.",neutral
Neither good nor bad. It meets the basic requirements.,neutral
Service was fine. It meets the basic requirements. Neither good nor bad.,neutral
Service was fine. Neither good nor bad. The product is average.,neutral
Neither good nor bad. It meets the basic requirements.,neutral
The product is average. It meets the basic requirements.,neutral
The product is average.,neutral
It meets the basic requirements.,neutral
"It is okay, nothing special.",neutral
"It meets the basic requirements. Service was fine. It is okay, nothing special.",neutral
"Service was fine. It is okay, nothing special.",neutral
"Service was fine. Service was fine. It is okay, nothing special.",neutral
"It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
"The product is average. It is okay, nothing special. It is okay, nothing special.",neutral
Neither good nor bad. It meets the basic requirements. It meets the basic requirements.,neutral
"Neither good nor bad. It is okay, nothing special. Neither good nor bad.",neutral
It meets the basic requirements.,neutral
The product is average. Neither good nor bad.,neutral
Neither good nor bad. The product is average.,neutral
"It is okay, nothing special. Neither good nor bad.",neutral
"The product is average. It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
It meets the basic requirements.,neutral
Neither good nor bad. Service was fine. Neither good nor bad.,neutral
"Service was fine. It is okay, nothing special. The product is average.",neutral
The product is average.,neutral
The product is average. The product is average. Neither good nor bad.,neutral
Neither good nor bad. The product is average.,neutral
Neither good nor bad.,neutral
Service was fine.,neutral
"It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
Service was fine.,neutral
"It is okay, nothing special. Neither good nor bad. It meets the basic requirements.",neutral
Service was fine.,neutral
Service was fine. Neither good nor bad.,neutral
Service was fine. It meets the basic requirements. The product is average.,neutral
The product is average. The product is average. Neither good nor bad.,neutral
Neither good nor bad. Service was fine. The product is average.,neutral
"It is okay, nothing special. It meets the basic requirements. Service was fine.",neutral
The product is average. Service was fine. Service was fine.,neutral
Neither good nor bad. Service was fine.,neutral
The product is average.,neutral
The product is average. The product is average. The product is average.,neutral
Neither good nor bad. Service was fine.,neutral
The product is average.,neutral
"It is okay, nothing special. The product is average. The product is average.",neutral
"It is okay, nothing special. It meets the basic requirements. It meets the basic requirements.",neutral
Service was fine.,neutral
Neither good nor bad. The product is average. The product is average.,neutral
"Neither good nor bad. It is okay, nothing special. It is okay, nothing special.",neutral
Service was fine.,neutral
"It is okay, nothing special.",neutral
Neither good nor bad. Service was fine.,neutral
It meets the basic requirements. The product is average.,neutral
The product is average.,neutral
Service was fine. The product is average.,neutral
"Service was fine. It is okay, nothing special.",neutral
"It is okay, nothing special. It meets the basic requirements.",neutral
The product is average. Service was fine.,neutral
It meets the basic requirements. Neither good nor bad. It meets the basic requirements.,neutral
The product is average. The product is average. It meets the basic requirements.,neutral
It meets the basic requirements.,neutral
Neither good nor bad. It meets the basic requirements.,neutral
It meets the basic requirements. Neither good nor bad.,neutral
Service was fine. Neither good nor bad.,neutral
Neither good nor bad. Neither good nor bad. The product is average.,neutral
Neither good nor bad. Neither good nor bad. Service was fine.,neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special.",neutral
Neither good nor bad.,neutral
Service was fine. Neither good nor bad.,neutral
It meets the basic requirements. Neither good nor bad. It meets the basic requirements.,neutral
"It is okay, nothing special. Service was fine. It meets the basic requirements.",neutral
"Neither good nor bad. Neither good nor bad. It is okay, nothing special.",neutral
"It is okay, nothing special. It is okay, nothing special.",neutral
"It is okay, nothing special. Neither good nor bad. It meets the basic requirements.",neutral
It meets the basic requirements. Neither good nor bad.,neutral
"The product is average. It is okay, nothing special. Service was fine.",neutral
It meets the basic requirements.,neutral
Neither good nor bad. The product is average.,neutral
It meets the basic requirements. The product is average. The product is average.,neutral
It meets the basic requirements. It meets the basic requirements.,neutral
The product is average. Neither good nor bad. Service was fine.,neutral
"Neither good nor bad. It is okay, nothing special. Service was fine.",neutral
"It meets the basic requirements. Service was fine. It is okay, nothing special.",neutral
"It is okay, nothing special. The product is average.",neutral
It meets the basic requirements.,neutral
The product is average. Neither good nor bad.,neutral
The product is average.,neutral
It meets the basic requirements.,neutral
Neither good nor bad. Neither good nor bad.,neutral
"Neither good nor bad. It is okay, nothing special.",neutral
It meets the basic requirements. Service was fine.,neutral
The product is average. Neither good nor bad. Service was fine.,neutral
Neither good nor bad.,neutral
The product is average. It meets the basic requirements. Neither good nor bad.,neutral
It meets the basic requirements.,neutral
"It meets the basic requirements. The product is average. It is okay, nothing special.",neutral
"It is okay, nothing special. It meets the basic requirements.",neutral
It meets the basic requirements. It meets the basic requirements. It meets the basic requirements.,neutral
Neither good nor bad. The product is average. It meets the basic requirements.,neutral
"The product is average. It is okay, nothing special.",neutral
The product is average.,neutral
Neither good nor bad.,neutral
The product is average. Service was fine.,neutral
Neither good nor bad. Service was fine.,neutral
The product is average. The product is average. It meets the basic requirements.,neutral
"It is okay, nothing special.",neutral
The product is average. Service was fine.,neutral
"It is okay, nothing special.",neutral
Service was fine. Neither good nor bad. Service was fine.,neutral
It meets the basic requirements. The product is average. It meets the basic requirements.,neutral
The product is average.,neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special. Neither good nor bad.",neutral
Service was fine. The product is average.,neutral
The product is average.,neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special. Neither good nor bad.",neutral
"It is okay, nothing special. The product is average.",neutral
It meets the basic requirements.,neutral
The product is average.,neutral
Service was fine. Service was fine. Neither good nor bad.,neutral
Service was fine.,neutral
Service was fine. The product is average.,neutral
Service was fine.,neutral
"It is okay, nothing special. It meets the basic requirements. Service was fine.",neutral
Neither good nor bad. It meets the basic requirements.,neutral
The product is average. Neither good nor bad.,neutral
It meets the basic requirements. It meets the basic requirements. The product is average.,neutral
The product is average. Service was fine. Neither good nor bad.,neutral
"It is okay, nothing special. Neither good nor bad.",neutral
Service was fine.,neutral
"It is okay, nothing special. It meets the basic requirements.",neutral
"Neither good nor bad. It is okay, nothing special. Neither good nor bad.",neutral
"Neither good nor bad. It is okay, nothing special. The product is average.",neutral
Neither good nor bad. The product is average. Service was fine.,neutral
Service was fine. Service was fine.,neutral
"Neither good nor bad. It is okay, nothing special. Service was fine.",neutral
Service was fine. The product is average. The product is average.,neutral
"Neither good nor bad. It is okay, nothing special.",neutral
The product is average. The product is average.,neutral
The product is average.,neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special.",neutral
The product is average. Service was fine.,neutral
Neither good nor bad. Neither good nor bad. The product is average.,neutral
It meets the basic requirements.,neutral
"It is okay, nothing special.",neutral
Service was fine. It meets the basic requirements.,neutral
The product is average.,neutral
The product is average. Service was fine.,neutral
Service was fine. Neither good nor bad.,neutral
"It is okay, nothing special.",neutral
It meets the basic requirements. Neither good nor bad.,neutral
The product is average. The product is average. It meets the basic requirements.,neutral
"It meets the basic requirements. It is okay, nothing special. Neither good nor bad.",neutral
"It is okay, nothing special.",neutral
Service was fine.,neutral
It meets the basic requirements.,neutral
"It is okay, nothing special. It is okay, nothing special.",neutral
Service was fine. Neither good nor bad. It meets the basic requirements.,neutral
The product is average.,neutral
Neither good nor bad.,neutral
"Neither good nor bad. The product is average. It is okay, nothing special.",neutral
It meets the basic requirements. The product is average. Neither good nor bad.,neutral
"It is okay, nothing special. It is okay, nothing special. Neither good nor bad.",neutral
Service was fine. Service was fine. Service was fine.,neutral
"It is okay, nothing special. The product is average. It is okay, nothing special.",neutral
"It is okay, nothing special. Service was fine.",neutral
Neither good nor bad. The product is average.,neutral
"It is okay, nothing special.",neutral
"It is okay, nothing special. It meets the basic requirements.",neutral
The product is average.,neutral
It meets the basic requirements.,neutral
The product is average. The product is average. The product is average.,neutral
"It is okay, nothing special.",neutral
It meets the basic requirements.,neutral
It meets the basic requirements.,neutral
The product is average. Service was fine.,neutral
Neither good nor bad.,neutral
Neither good nor bad. Service was fine.,neutral
"Service was fine. Neither good nor bad. It is okay, nothing special.",neutral
"It meets the basic requirements. It is okay, nothing special.",neutral
